campLocation,timestamp,source,destination,user,device,eventType,eventDescription,eventSeverity,mlRiskScore,entropy,log_hash,anomaly_score
Bangalore,2023-09-13T01:24,10.1.1.1,172.16.0.20,guest,ServerABC,malware-detection,Malware detected: File 'file910.txt' found on device 'ServerABC',warning,0.37,4.388508938909887,c4b640b1beef7eae4ff6fb99151681dd03238c0c281304be11443f84670e350b,1
Bangalore,2023-09-17T23:36,10.1.1.1,172.16.0.20,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 10.1.1.1,error,0.13,4.392486650571201,eb61388af6d155fc2dd14212c3f13c1d2d050c0c06782ec50c85943e17ff8c69,1
Bangalore,2023-09-18T09:47,84.124.148.119,48.239.159.33,admin,Workstation123,api-called,API called: API2 from IP 84.124.148.119,error,0.73,4.089781950065051,bcc1869be66bea6bfe998459add9bd075e5c47a16e9a39717cb232ef4903590e,1
Bangalore,2023-09-15T23:45,192.168.10.5,10.1.1.2,anonymous,ServerABC,auth-success,Successful login for user 'anonymous' from IP 192.168.10.5,informational,0.1,4.460816125478308,c9e9a50fd198cc19b5a93a3bfacd5c78acaf259c1fbf568d199352ab2b135072,1
Bangalore,2023-09-16T07:17,192.168.0.1,172.16.1.101,admin,ServerABC,dns-queries,DNS query from IP 192.168.0.1 for domain 'example341.com',warning,0.17,4.654622304362456,b713329c20dc3891b5d33f583c17e3dc9e7201ee48a021836abb114b1276bf75,1
Bangalore,2023-09-15T08:15,192.168.2.5,172.16.0.20,anonymous,ServerABC,application-usage,User 'anonymous' used application 'App8',error,0.13,4.096439344671015,5e3227f77209fd22e76cf3631a583144fa56011e1efefc11de1465c8bbc7e61c,1
Bangalore,2023-09-12T21:48,206.57.151.210,69.168.191.71,user123,DeviceXYZ,application-usage,User 'user123' used application 'App4',error,0.67,4.155565013329719,9a67d25111cfd71889bad2408c47fc8f14ce6e013936336157bc2db21450f207,1
Bangalore,2023-09-16T13:15,192.168.10.5,192.168.0.2,admin,DeviceXYZ,software-update,Software update: Software9 updated to version v4,informational,0.27,3.996653522439334,b8d9267a8a839964a5c90ef0047a07dd819370a63b6dc89db3024cb4866ffb0f,1
Bangalore,2023-09-14T17:01,172.16.1.100,10.0.0.101,admin,Workstation123,software-update,Software update: Software7 updated to version v4,error,0.27,3.996653522439334,b2a665b5ad6b8ade3e3ed6a1bd26cc9ee9c27dab94c621e95fc29f497e73996f,1
Bangalore,2023-09-17T02:35,10.1.1.1,172.16.0.20,admin,ServerABC,api-called,API called: API4 from IP 10.1.1.1,warning,0.2,3.8966879684212654,be2ba8435e4854398bef8caa8340ad71d3ac1cde31a661b5ad18ddaa4a1dcd0b,1
